
BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   Text type 3: "Brave Way"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 7, crotchets/32ndnote 161
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Strings 3 #5 (MIDI)"
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  1   Instrument 49
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5C &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5F &00
BA    1   CR         0   TR  2   CH 16   Text type 3: "Brass Ensemble (MIDI)"
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &01
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &26 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &02
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  2   CH  2   Instrument 62
BA    1   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  2   CH  2   Channel volume 112
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  3   CH 16   Text type 3: "Trumpet 1 #2 (MIDI)"
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  3   CH  3   Instrument 57
BA    1   CR         0   TR  3   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  3   CH  3   Channel volume 96
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &70
BA    1   CR         0   TR  3   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  4   CH 16   Text type 3: "Trombone (MIDI)"
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &7F
