
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   Instrument 80
BA    1   CR         0   TR  1   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   Instrument 80
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   Instrument 80
BA    1   CR         0   TR  1   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  1   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   Instrument 80
BA    1   CR         0   TR  1   CH  6   ST &B5 &0A &40
BA    1   CR         0   TR  1   CH  6   Channel volume 100
BA    1   CR         0   TR  1   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  1   CH  6   Instrument 80
BA    1   CR         0   TR  2   CH 16   Text type 3: "MIDI out #4"
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 50
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 50
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 50
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 50
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  2   CH  4   Channel volume 63
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   Instrument 50
BA    1   CR         0   TR  3   CH 16   Text type 3: "MIDI out #3"
