
BA    1   CR         0   TR  0   CH 16   Tempo 129
BA    1   CR         0   TR  0   CH 16   Tempo 129
BA    1   CR         0   TR  0   CH 16   Tempo 129
BA    1   CR         0   TR  1   CH 16   Text type 3: "Tremelo Strings Pan Right"
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 121
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 121
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 45
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 121
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 45
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 27
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 27
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   Instrument 45
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &70
BA    1   CR         0   TR  1   CH  1   Channel volume 27
BA    1   CR         0   TR  1   CH  1   NT  A-        2+95/96   von=127   voff=127
BA    1   CR         0   TR  1   CH  1   NT  E         2+95/96   von=85   voff=85
BA    1   CR         0   TR  1   CH  1   NT  F         2+95/96   von=127   voff=127
BA    1   CR         0   TR  1   CH  1   NT  E'        2+95/96   von=76   voff=76
BA    1   CR         0   TR  2   CH 16   Text type 3: "Tremelo Strings Pan Left"
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 111
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 111
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 45
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 111
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 45
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 35
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 35
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 45
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &17
BA    1   CR         0   TR  2   CH  2   Channel volume 35
BA    1   CR         0   TR  2   CH  2   NT  A-        2+95/96   von=85   voff=85
BA    1   CR         0   TR  2   CH  2   NT  F         2+95/96   voff=85
BA    1   CR         0   TR  3   CH 16   Text type 3: "Orcarina Pan Left"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &17
BA    1   CR         0   TR  3   CH  3   Channel volume 113
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &17
BA    1   CR         0   TR  3   CH  3   Channel volume 113
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 80
BA    1   CR         0   TR  3   CH  3   ST &B2 &01 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &17
BA    1   CR         0   TR  3   CH  3   Channel volume 113
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 80
BA    1   CR         0   TR  3   CH  3   ST &B2 &01 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &17
BA    1   CR         0   TR  3   CH  3   Channel volume 45
