
BA    1   CR         0   TR  0   CH 16   Text type 3: "untitled"
BA    1   CR         0   TR  0   CH 16   Text type 1: "r B"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 125
BA    1   CR         0   TR  0   CH  1   Instrument 49
BA    1   CR         0   TR  0   CH  1   Channel volume 110
BA    1   CR         0   TR  0   CH  1   NT  A-            1/2   von=100
BA    1   CR         0   TR  0   CH  1   NT  A'              2
BA    1   CR         0   TR  0   CH  2   Instrument 1
BA    1   CR         0   TR  0   CH  2   Channel volume 115
BA    1   CR         0   TR  0   CH  2   NT  A-            1/2
BA    1   CR         0   TR  0   CH  3   Instrument 48
BA    1   CR         0   TR  0   CH  3   Channel volume 90
BA    1   CR         0   TR  0   CH  3   NT  A-            1/8
BA    1   CR         0   TR  0   CH  4   Instrument 53
BA    1   CR         0   TR  0   CH  4   Channel volume 95
BA    1   CR         0   TR  0   CH  4   NT  A''             2
BA    1   CR         0   TR  0   CH  5   Instrument 7
BA    1   CR         0   TR  0   CH  5   Channel volume 95
BA    1   CR         0   TR  0   CH  5   NT  A-            1/4
BA    1   CR         0   TR  0   CH  6   Instrument 43
BA    1   CR         0   TR  0   CH  6   Channel volume 90
BA    1   CR         0   TR  0   CH  6   NT  A-              4
BA    1   CR       1/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR       1/2   TR  0   CH  1   NT  A-            1/2
BA    1   CR       1/2   TR  0   CH  2   NT  A-            1/2
BA    1   CR       1/2   TR  0   CH  5   NT  A-            1/4
BA    1   CR       3/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR         1   TR  0   CH  1   NT  A-            1/2
BA    1   CR         1   TR  0   CH  2   NT  A-            1/2
BA    1   CR         1   TR  0   CH  5   NT  A-            1/4
BA    1   CR     1+1/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR     1+1/2   TR  0   CH  1   NT  A-            1/2
BA    1   CR     1+1/2   TR  0   CH  2   NT  A-            1/2
BA    1   CR     1+1/2   TR  0   CH  5   NT  A-            1/4
BA    1   CR     1+3/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR         2   TR  0   CH  1   NT  A-            1/2
BA    1   CR         2   TR  0   CH  1   NT  G#'             1
BA    1   CR         2   TR  0   CH  2   NT  A-            1/2
BA    1   CR         2   TR  0   CH  3   NT  A-            1/8
BA    1   CR         2   TR  0   CH  4   NT  G#''            1
BA    1   CR         2   TR  0   CH  5   NT  A-            1/4
BA    1   CR     2+1/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR     2+1/2   TR  0   CH  1   NT  A-            1/2
BA    1   CR     2+1/2   TR  0   CH  2   NT  A-            1/2
BA    1   CR     2+1/2   TR  0   CH  5   NT  A-            1/4
BA    1   CR     2+3/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR         3   TR  0   CH  1   NT  A-            1/2
BA    1   CR         3   TR  0   CH  1   NT  E'              1
BA    1   CR         3   TR  0   CH  2   NT  A-            1/2
BA    1   CR         3   TR  0   CH  4   NT  E''             1
BA    1   CR         3   TR  0   CH  5   NT  A-            1/4
BA    1   CR     3+1/4   TR  0   CH  5   NT  C#            1/4
BA    1   CR     3+1/2   TR  0   CH  1   NT  A-            1/2
BA    1   CR     3+1/2   TR  0   CH  2   NT  A-            1/2
BA    1   CR     3+1/2   TR  0   CH  5   NT  A-            1/4
BA    1   CR     3+3/4   TR  0   CH  5   NT  C#            1/4

BA    2   CR         0   TR  0   CH  1   NT  D             1/2
BA    2   CR         0   TR  0   CH  1   NT  F#'             2
BA    2   CR         0   TR  0   CH  2   NT  D             1/2
BA    2   CR         0   TR  0   CH  3   NT  D             1/8
BA    2   CR         0   TR  0   CH  4   NT  F#''            2
BA    2   CR         0   TR  0   CH  5   NT  D             1/4
BA    2   CR         0   TR  0   CH  6   NT  D               2
BA    2   CR       1/4   TR  0   CH  5   NT  F#            1/4
BA    2   CR       1/2   TR  0   CH  1   NT  D             1/2
BA    2   CR       1/2   TR  0   CH  2   NT  D             1/2
BA    2   CR       1/2   TR  0   CH  5   NT  D             1/4
BA    2   CR       3/4   TR  0   CH  5   NT  F#            1/4
BA    2   CR         1   TR  0   CH  1   NT  D             1/2
BA    2   CR         1   TR  0   CH  2   NT  D             1/2
BA    2   CR         1   TR  0   CH  5   NT  D             1/4
BA    2   CR     1+1/4   TR  0   CH  5   NT  F#            1/4
BA    2   CR     1+1/2   TR  0   CH  1   NT  D             1/2
BA    2   CR     1+1/2   TR  0   CH  2   NT  D             1/2
BA    2   CR     1+1/2   TR  0   CH  5   NT  D             1/4
BA    2   CR     1+3/4   TR  0   CH  5   NT  F#            1/4
BA    2   CR         2   TR  0   CH  1   NT  E             1/2
BA    2   CR         2   TR  0   CH  1   NT  E'            1/2
BA    2   CR         2   TR  0   CH  2   NT  E             1/2
BA    2   CR         2   TR  0   CH  3   NT  E             1/8
BA    2   CR         2   TR  0   CH  4   NT  E''           1/2
BA    2   CR         2   TR  0   CH  5   NT  E             1/4
BA    2   CR         2   TR  0   CH  6   NT  E               2
BA    2   CR     2+1/4   TR  0   CH  5   NT  B             1/4
BA    2   CR     2+1/2   TR  0   CH  1   NT  E             1/2
BA    2   CR     2+1/2   TR  0   CH  1   NT  D'            1/2
BA    2   CR     2+1/2   TR  0   CH  2   NT  E             1/2
BA    2   CR     2+1/2   TR  0   CH  4   NT  D''           1/2
BA    2   CR     2+1/2   TR  0   CH  5   NT  E             1/4
BA    2   CR     2+3/4   TR  0   CH  5   NT  B             1/4
BA    2   CR         3   TR  0   CH  1   NT  E             1/2
BA    2   CR         3   TR  0   CH  1   NT  C#'           1/2
BA    2   CR         3   TR  0   CH  2   NT  E             1/2
BA    2   CR         3   TR  0   CH  4   NT  C#''          1/2
BA    2   CR         3   TR  0   CH  5   NT  E             1/4
BA    2   CR     3+1/4   TR  0   CH  5   NT  B             1/4
BA    2   CR     3+1/2   TR  0   CH  1   NT  E             1/2
BA    2   CR     3+1/2   TR  0   CH  1   NT  B             1/2
BA    2   CR     3+1/2   TR  0   CH  2   NT  E             1/2
BA    2   CR     3+1/2   TR  0   CH  4   NT  B'            1/2
BA    2   CR     3+1/2   TR  0   CH  5   NT  E             1/4
BA    2   CR     3+3/4   TR  0   CH  5   NT  B             1/4

BA    3   CR         0   TR  0   CH  1   NT  F#            1/2
BA    3   CR         0   TR  0   CH  1   NT  C#'         1+1/2
BA    3   CR         0   TR  0   CH  2   NT  F#            1/2
BA    3   CR         0   TR  0   CH  3   NT  F#            1/8
BA    3   CR         0   TR  0   CH  4   NT  C#''        1+1/2
BA    3   CR         0   TR  0   CH  5   NT  F#            1/4
BA    3   CR         0   TR  0   CH  6   NT  F#              4
BA    3   CR       1/4   TR  0   CH  5   NT  C#'           1/4
BA    3   CR       1/2   TR  0   CH  1   NT  F#            1/2
