
BA    1   CR         0   TR  0   CH 16   Tempo 170
BA    1   CR         0   TR  0   CH 16   Text type 3: ""
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 5, crotchets/32ndnote 98
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Piste 1"
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  1   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &01
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &26 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &02
BA    1   CR         0   TR  1   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  1   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  1   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  2   Instrument 45
BA    1   CR         0   TR  1   CH  1   Instrument 45
BA    1   CR         0   TR  1   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  2   Channel volume 127
BA    1   CR         0   TR  1   CH  1   Channel volume 127
BA    1   CR         0   TR  1   CH  2   ST &B1 &0A &28
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &28
BA    1   CR         0   TR  1   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5C &00
BA    1   CR         0   TR  1   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5F &00
BA    1   CR         0   TR  2   CH 16   Text type 3: "Piste 2"
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  2   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  2   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  2   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  2   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  2   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  2   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  2   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  2   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  2   CH  4   Instrument 88
BA    1   CR         0   TR  2   CH  3   Instrument 88
BA    1   CR         0   TR  2   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  2   CH  4   Channel volume 112
BA    1   CR         0   TR  2   CH  3   Channel volume 112
BA    1   CR         0   TR  2   CH  4   ST &B3 &0A &50
BA    1   CR         0   TR  2   CH  3   ST &B2 &0A &50
BA    1   CR         0   TR  2   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  2   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  2   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  3   CH 16   Text type 3: "Piste 3"
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  3   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &01
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &26 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  3   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &01
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &26 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &02
BA    1   CR         0   TR  3   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  3   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  3   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &02
BA    1   CR         0   TR  3   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  3   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  3   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  3   CH  6   Instrument 45
BA    1   CR         0   TR  3   CH  5   Instrument 45
BA    1   CR         0   TR  3   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  3   CH  6   Channel volume 104
BA    1   CR         0   TR  3   CH  5   Channel volume 104
BA    1   CR         0   TR  3   CH  6   ST &B5 &0A &28
BA    1   CR         0   TR  3   CH  5   ST &B4 &0A &28
BA    1   CR         0   TR  3   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5C &00
BA    1   CR         0   TR  3   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  3   CH  5   ST &B4 &5F &00
BA    1   CR         0   TR  4   CH 16   Text type 3: "Percussions"
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  4   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  4   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  4   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  4   CH 10   Instrument 26
BA    1   CR         0   TR  4   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  4   CH 10   Channel volume 104
BA    1   CR         0   TR  4   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  4   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  4   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR  5   CH 16   Text type 3: "Piste 5"
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  5   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &01
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  5   CH  8   ST &B7 &26 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  5   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &01
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  5   CH  7   ST &B6 &26 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &02
BA    1   CR         0   TR  5   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  5   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  5   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &02
BA    1   CR         0   TR  5   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  5   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  5   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  5   CH  8   Instrument 26
BA    1   CR         0   TR  5   CH  7   Instrument 26
BA    1   CR         0   TR  5   CH  8   ST &B7 &00 &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &00 &00
BA    1   CR         0   TR  5   CH  8   Channel volume 104
BA    1   CR         0   TR  5   CH  7   Channel volume 104
BA    1   CR         0   TR  5   CH  8   ST &B7 &0A &30
BA    1   CR         0   TR  5   CH  7   ST &B6 &0A &30
BA    1   CR         0   TR  5   CH  8   ST &B7 &5D &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &5D &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &5C &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &5C &00
BA    1   CR         0   TR  5   CH  8   ST &B7 &5F &00
BA    1   CR         0   TR  5   CH  7   ST &B6 &5F &00
BA    1   CR         0   TR  6   CH 16   Text type 3: "Piste 6"
BA    1   CR         0   TR  6   CH 11   ST &BA &64 &00
