
BA    1   CR         0   TR  0   CH 16   Tempo 160
BA    1   CR         0   TR  0   CH 16   Text type 3: "Survival From the Force"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 5, crotchets/32ndnote 184
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Synth Lead"
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  1   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &01
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &26 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &02
BA    1   CR         0   TR  1   CH  1   ST &B0 &06 &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &65 &7F
BA    1   CR         0   TR  1   CH  1   ST &B0 &64 &7F
BA    1   CR         0   TR  1   CH  1   Instrument 82
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  1   Channel volume 96
BA    1   CR         0   TR  1   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  1   CH  1   ST &B0 &5D &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5B &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5C &00
BA    1   CR         0   TR  1   CH  1   ST &B0 &5F &00
BA    1   CR         0   TR  2   CH 16   Text type 3: "Synth lead (Echo)"
BA    1   CR         0   TR  2   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  2   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  2   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &64 &01
BA    1   CR         0   TR  2   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR  2   CH  9   ST &B8 &26 &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &65 &7F
BA    1   CR         0   TR  2   CH  9   ST &B8 &64 &7F
BA    1   CR         0   TR  2   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  2   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  2   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &64 &01
BA    1   CR         0   TR  2   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  2   CH  8   ST &B7 &26 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  2   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  2   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &64 &02
BA    1   CR         0   TR  2   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR  2   CH  9   ST &B8 &65 &7F
BA    1   CR         0   TR  2   CH  9   ST &B8 &64 &7F
BA    1   CR         0   TR  2   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &64 &02
BA    1   CR         0   TR  2   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  2   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  2   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  2   CH  9   Instrument 82
BA    1   CR         0   TR  2   CH  8   Instrument 82
BA    1   CR         0   TR  2   CH  9   ST &B8 &00 &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &00 &00
BA    1   CR         0   TR  2   CH  9   Channel volume 64
BA    1   CR         0   TR  2   CH  8   Channel volume 64
BA    1   CR         0   TR  2   CH  9   ST &B8 &0A &50
BA    1   CR         0   TR  2   CH  8   ST &B7 &0A &50
BA    1   CR         0   TR  2   CH  9   ST &B8 &5D &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &5D &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &5C &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &5C &00
BA    1   CR         0   TR  2   CH  9   ST &B8 &5F &00
BA    1   CR         0   TR  2   CH  8   ST &B7 &5F &00
BA    1   CR         0   TR  3   CH 16   Text type 3: "Bell Synth"
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  3   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &01
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &26 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &02
