
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 106.0002
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Tremolo Strings"
BA    1   CR         0   TR  1   CH  1   ST &B0 &00 &00
BA    1   CR         0   TR  1   CH  1   Instrument 45
BA    1   CR         0   TR  1   CH  1   Channel volume 41
BA    1   CR         0   TR  1   CH  1   NT  D''     14+473/480   von=64
BA    1   CR         0   TR  2   CH 16   Text type 3: "Pizzicato Strings"
BA    1   CR         0   TR  2   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  2   CH  2   Instrument 46
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &3F
BA    1   CR         0   TR  2   CH  2   Channel volume 96
BA    1   CR         0   TR  3   CH 16   Text type 3: "Orchetra Harp"
BA    1   CR         0   TR  3   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  3   CH  3   Instrument 47
BA    1   CR      7/32   TR  1   CH  1   Channel volume 44
BA    1   CR     11/32   TR  1   CH  1   Channel volume 45
BA    1   CR     13/32   TR  1   CH  1   Channel volume 46
BA    1   CR     15/32   TR  1   CH  1   Channel volume 47
BA    1   CR     19/32   TR  1   CH  1   Channel volume 48
BA    1   CR     21/32   TR  1   CH  1   Channel volume 49
BA    1   CR     23/32   TR  1   CH  1   Channel volume 50
BA    1   CR     27/32   TR  1   CH  1   Channel volume 51
BA    1   CR     29/32   TR  1   CH  1   Channel volume 52
BA    1   CR     31/32   TR  1   CH  1   Channel volume 53
BA    1   CR    1+3/32   TR  1   CH  1   Channel volume 54
BA    1   CR    1+5/32   TR  1   CH  1   Channel volume 55
BA    1   CR    1+7/32   TR  1   CH  1   Channel volume 56
BA    1   CR   1+11/32   TR  1   CH  1   Channel volume 57
BA    1   CR   1+13/32   TR  1   CH  1   Channel volume 58
BA    1   CR   1+15/32   TR  1   CH  1   Channel volume 59
BA    1   CR   1+19/32   TR  1   CH  1   Channel volume 60
BA    1   CR   1+21/32   TR  1   CH  1   Channel volume 61
BA    1   CR   1+23/32   TR  1   CH  1   Channel volume 62
BA    1   CR   1+27/32   TR  1   CH  1   Channel volume 63
BA    1   CR   1+29/32   TR  1   CH  1   Channel volume 64
BA    1   CR   1+31/32   TR  1   CH  1   Channel volume 65
BA    1   CR    2+3/32   TR  1   CH  1   Channel volume 66
BA    1   CR    2+5/32   TR  1   CH  1   Channel volume 67
BA    1   CR    2+7/32   TR  1   CH  1   Channel volume 68
BA    1   CR   2+11/32   TR  1   CH  1   Channel volume 69
