
BA    1   CR         0   TR  0   CH 16   Tempo 105.0001
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Track 1"
BA    1   CR         0   TR  1   CH  1   Sysex event &F0  &41 &10 &42 &12 &40 &00 &7F &00 &41 &F7
BA    1   CR         0   TR  1   CH  1   Instrument 54
BA    1   CR         0   TR  1   CH  1   NT  C             1/4   von=100   voff=0
BA    1   CR         0   TR  1   CH  1   NT  E             1/4   voff=0
BA    1   CR         0   TR  2   CH 16   Text type 3: "Track 2"
BA    1   CR         0   TR  2   CH  2   Instrument 54
BA    1   CR         0   TR  3   CH 16   Text type 3: "Track 3"
BA    1   CR         0   TR  3   CH  3   Instrument 54
BA    1   CR         0   TR  3   CH  3   NT  C-            1/4   von=100   voff=0
BA    1   CR         0   TR  4   CH 16   Text type 3: "Track 10"
BA    1   CR         0   TR  4   CH 10   Instrument 1
BA    1   CR       1/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    1   CR       1/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    1   CR       1/4   TR  3   CH  3   NT  C-            1/4   voff=0
BA    1   CR       3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    1   CR       3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    1   CR       3/4   TR  3   CH  3   NT  C-            1/4   voff=0
BA    1   CR     1+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA    1   CR     1+1/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    1   CR     1+1/4   TR  3   CH  3   NT  Bb--          1/4   voff=0
BA    1   CR     1+1/2   TR  1   CH  1   NT  C             1/4   voff=0
BA    1   CR     1+1/2   TR  1   CH  1   NT  E             1/4   voff=0
BA    1   CR     1+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    1   CR         2   TR  1   CH  1   NT  B-            1/4   voff=0
BA    1   CR         2   TR  1   CH  1   NT  G             1/4   voff=0
BA    1   CR         2   TR  3   CH  3   NT  G--           1/4   voff=0
BA    1   CR         3   TR  1   CH  1   NT  G-              1   voff=0
BA    1   CR         3   TR  1   CH  1   NT  Eb              1   voff=0
BA    1   CR         3   TR  1   CH  1   NT  G               1   voff=0
BA    1   CR         3   TR  1   CH  1   NT  Eb'             1   voff=0
BA    1   CR         3   TR  1   CH  1   NT  G'              1   voff=0
BA    1   CR     3+1/2   TR  4   CH 10   NT  A             1/8   von=100   voff=0

BA    2   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    2   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    2   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    2   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    2   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    2   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    2   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    2   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    2   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    2   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    2   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    3   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    3   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    3   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
