
BA    1   CR         0   TR  0   CH 16   Text type 3: "General MIDI Authoring Template"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Use this template to create new GM compatiable MIDI files.\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "MIDI file publishers and hardware manufacturers, such as Roland Corp. and Tune 1000 have introduced more detailed conventions for authoring standard MIDI files for GM devices. These conventions are intended to produce consistent, error-free results when \n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Song Tempo should remain within the range of 30-240bpm\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "MIDI Channel          Recommended Instrumentation\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "1                              Piano Solo (Left & Right Hand)\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "2                              Bass Instrument\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "3                              Primary Accompaniment (or for Left-hand part when using split Piano parts)\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "4                              Primary Melodic Instrument* (or for Right-hand part when using split Piano parts)\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "5                              Secondary Accompaniment\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "6                              Secondary Melodic Instrument\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "7                              Alternative 1\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "8                              Alternative 2\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "9                              Alternative 3\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "10                            Drums & Percussion\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "11                           --Reserved-- \n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "12                           --Reserved--\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "13                           --Reserved--\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "14                           --Reserved--\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "15                           --Reserved--\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "16                           --Reserved--\n"
BA    1   CR         0   TR  0   CH 16   Text type 1: "*Lyrics should be placed on Channel 4\n"
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH  1   Sysex event &F0  &7E &7F &09 &01 &F7
BA    1   CR         0   TR  0   CH 16   Meta Event   type &21   0
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   Tempo 108
BA    1   CR    1+1/60   TR  0   CH  1   Instrument 16
BA    1   CR   1+7/120   TR  0   CH  2   Instrument 88
BA    1   CR    1+1/10   TR  0   CH  3   Instrument 49
BA    1   CR  1+17/120   TR  0   CH  4   Instrument 91
BA    1   CR   1+11/60   TR  0   CH  5   Instrument 91
BA    1   CR    1+9/40   TR  0   CH  6   Instrument 89
BA    1   CR    1+4/15   TR  0   CH  7   Instrument 47
BA    1   CR  1+37/120   TR  0   CH  8   Instrument 96
BA    1   CR    1+7/20   TR  0   CH  9   Instrument 52
BA    1   CR  1+59/120   TR  0   CH  4   Channel volume 122
BA    1   CR  1+79/120   TR  0   CH  4   Channel volume 121
BA    1   CR    1+7/10   TR  0   CH  4   Channel volume 119
BA    1   CR    1+7/10   TR  0   CH  4   Channel volume 116
BA    1   CR  1+89/120   TR  0   CH  2   Channel volume 127
BA    1   CR  1+89/120   TR  0   CH  2   Channel volume 126
BA    1   CR  1+89/120   TR  0   CH  2   Channel volume 125
BA    1   CR  1+89/120   TR  0   CH  4   Channel volume 113
BA    1   CR  1+89/120   TR  0   CH  4   Channel volume 108
BA    1   CR  1+89/120   TR  0   CH  4   Channel volume 104
BA    1   CR   1+47/60   TR  0   CH  2   Channel volume 123
BA    1   CR   1+47/60   TR  0   CH  4   Channel volume 98
BA    1   CR  1+97/120   TR  0   CH  2   Channel volume 120
BA    1   CR  1+97/120   TR  0   CH  2   Channel volume 116
BA    1   CR  1+97/120   TR  0   CH  4   Channel volume 93
BA    1   CR  1+97/120   TR  0   CH  4   Channel volume 86
BA    1   CR   1+17/20   TR  0   CH  2   Channel volume 111
BA    1   CR   1+17/20   TR  0   CH  2   Channel volume 105
BA    1   CR   1+17/20   TR  0   CH  2   Channel volume 98
BA    1   CR   1+17/20   TR  0   CH  4   Channel volume 79
BA    1   CR   1+17/20   TR  0   CH  4   Channel volume 73
