
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 160
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Super Smash Bros. Melee"
BA    1   CR         0   TR  1   CH  1   Instrument 106
BA    1   CR         0   TR  1   CH  1   NT  A--          5/12   von=100
BA    1   CR         0   TR  1   CH  1   NT  F--          5/12
BA    1   CR         0   TR  1   CH  1   NT  B             1/4
BA    1   CR         0   TR  2   CH 16   Text type 3: "Yoshi Island"
BA    1   CR         0   TR  2   CH  2   Instrument 64
BA    1   CR         0   TR  3   CH 16   Text type 3: "Not to be confused with Story!"
BA    1   CR         0   TR  3   CH 16   End of track
BA    1   CR         0   TR  4   CH 16   Text type 3: "By Chris Zito"
BA    1   CR         0   TR  4   CH 16   End of track
BA    1   CR         0   TR  5   CH 16   Text type 3: "Dec,27,2001"
BA    1   CR         0   TR  5   CH 16   End of track
BA    1   CR       1/4   TR  1   CH  1   NT  A             1/4
BA    1   CR       1/2   TR  1   CH  1   NT  F             1/4
BA    1   CR       3/4   TR  1   CH  1   NT  A--          7/12
BA    1   CR       3/4   TR  1   CH  1   NT  B             1/2
BA    1   CR       3/4   TR  1   CH  1   NT  F--          7/12
BA    1   CR     1+1/4   TR  1   CH  1   NT  A             1/4
BA    1   CR     1+1/2   TR  1   CH  1   NT  F             1/4
BA    1   CR     1+3/4   TR  1   CH  1   NT  G#--          1/2
BA    1   CR     1+3/4   TR  1   CH  1   NT  E--           1/2
BA    1   CR     1+3/4   TR  1   CH  1   NT  E            5/12
BA    1   CR     2+1/4   TR  1   CH  1   NT  E'            1/4
BA    1   CR     2+1/4   TR  1   CH  1   NT  G#            1/4
BA    1   CR     2+3/4   TR  1   CH  1   NT  E'            1/4
BA    1   CR     2+3/4   TR  1   CH  1   NT  G#            1/4
BA    1   CR     3+3/4   TR  1   CH  1   NT  A-            1/4

BA    2   CR         0   TR  1   CH  1   NT  A             1/4
BA    2   CR         0   TR  1   CH  1   NT  C#            1/4
BA    2   CR         0   TR  1   CH  1   NT  A---          1/4
BA    2   CR       1/4   TR  1   CH  1   NT  E             1/4
BA    2   CR       1/4   TR  1   CH  1   NT  A-            1/4
BA    2   CR       1/2   TR  1   CH  1   NT  E             1/4
BA    2   CR       1/2   TR  1   CH  1   NT  G             1/4
BA    2   CR       3/4   TR  1   CH  1   NT  C#--          1/4
BA    2   CR       3/4   TR  1   CH  1   NT  C#            1/2
BA    2   CR       3/4   TR  1   CH  1   NT  A             1/2
BA    2   CR     1+1/4   TR  1   CH  1   NT  A-            1/4
BA    2   CR     1+1/2   TR  1   CH  1   NT  E--           1/4
BA    2   CR     1+1/2   TR  1   CH  1   NT  C#            1/4
BA    2   CR     1+1/2   TR  1   CH  1   NT  A             1/4
BA    2   CR     1+3/4   TR  1   CH  1   NT  A-            1/4
BA    2   CR     1+3/4   TR  1   CH  1   NT  E             1/4
BA    2   CR         2   TR  1   CH  1   NT  E             1/4
BA    2   CR         2   TR  1   CH  1   NT  G             1/4
BA    2   CR     2+1/4   TR  1   CH  1   NT  C#--          1/4
BA    2   CR     2+1/4   TR  1   CH  1   NT  A             1/2
BA    2   CR     2+1/4   TR  1   CH  1   NT  C#            1/2
BA    2   CR     2+3/4   TR  1   CH  1   NT  A-            2/3
BA    2   CR     2+3/4   TR  1   CH  1   NT  C#            2/3
BA    2   CR         3   TR  1   CH  1   NT  A---          1/4
BA    2   CR     3+1/2   TR  1   CH  1   NT  E--           1/4
BA    2   CR     3+3/4   TR  1   CH  1   NT  A-            1/4

BA    3   CR         0   TR  1   CH  1   NT  D--           1/4
BA    3   CR         0   TR  1   CH  1   NT  D             1/4
BA    3   CR         0   TR  1   CH  1   NT  A             1/4
BA    3   CR       1/4   TR  1   CH  1   NT  A-            1/4
BA    3   CR       1/2   TR  1   CH  1   NT  F             1/4
BA    3   CR       3/4   TR  1   CH  1   NT  A---          1/4
BA    3   CR       3/4   TR  1   CH  1   NT  D             1/2
BA    3   CR       3/4   TR  1   CH  1   NT  A             1/2
BA    3   CR     1+1/4   TR  1   CH  1   NT  A-            1/4
BA    3   CR    1+5/12   TR  1   CH  1   NT  D--           1/4
BA    3   CR     1+1/2   TR  1   CH  1   NT  A             1/4
BA    3   CR     1+1/2   TR  1   CH  1   NT  D             1/4
BA    3   CR     1+3/4   TR  1   CH  1   NT  A-            1/4
BA    3   CR         2   TR  1   CH  1   NT  D             1/4
BA    3   CR         2   TR  1   CH  1   NT  F             1/4
BA    3   CR     2+1/4   TR  1   CH  1   NT  D             1/2
BA    3   CR     2+1/4   TR  1   CH  1   NT  A             1/2
BA    3   CR     2+1/4   TR  1   CH  1   NT  A---          1/4
BA    3   CR     2+3/4   TR  1   CH  1   NT  A-           7/12
BA    3   CR     2+3/4   TR  1   CH  1   NT  D            7/12
BA    3   CR         3   TR  1   CH  1   NT  A---          1/4
BA    3   CR     3+1/2   TR  1   CH  1   NT  G---          1/4
BA    3   CR     3+3/4   TR  1   CH  1   NT  G-            1/4

BA    4   CR         0   TR  1   CH  1   NT  B---          1/4
BA    4   CR         0   TR  1   CH  1   NT  B-            1/4
BA    4   CR         0   TR  1   CH  1   NT  G             1/4
BA    4   CR       1/4   TR  1   CH  1   NT  D             1/4
BA    4   CR       1/4   TR  1   CH  1   NT  G-            1/4
BA    4   CR       1/2   TR  1   CH  1   NT  B-            1/4
BA    4   CR       1/2   TR  1   CH  1   NT  D             1/4
BA    4   CR       3/4   TR  1   CH  1   NT  D--           1/4
